18/08/26 18:10,10,0,0,0
18/08/26 18:20,10,0,0,0
18/08/26 18:30,10,0,0,0
18/08/26 18:40,10,0,0,0
18/08/26 18:50,10,0,0,0
18/08/26 19:00,10,0,0,0
18/08/26 19:10,10,0,0,0
18/08/26 19:20,10,0,0,0
18/08/26 19:30,10,0,0,0
18/08/26 19:40,10,0,0,0
18/08/26 19:50,10,0,0,0
18/08/26 20:00,10,0,0,0
19/08/26 08:00,14,,
19/08/26 08:10,10,0,0,0
19/08/26 08:20,10,0,0,0
19/08/26 08:30,10,0,0,0
19/08/26 08:40,10,0,0,0
19/08/26 08:50,10,0,0,0
19/08/26 09:00,10,0,0,0
19/08/26 09:10,10,0,0,0
19/08/26 09:20,10,0,0,0
19/08/26 09:30,10,0,0,0
19/08/26 09:40,10,0,0,0
19/08/26 09:50,10,0,0,0
19/08/26 10:00,10,0,0,0
19/08/26 10:10,10,0,0,0
19/08/26 10:20,10,0,0,0
19/08/26 10:30,10,0,0,0
19/08/26 10:40,10,0,0,0
19/08/26 10:50,10,0,0,0
19/08/26 11:00,10,0,0,0
19/08/26 11:10,10,0,0,0
19/08/26 11:20,10,0,0,0
19/08/26 11:30,10,0,0,0
19/08/26 11:40,10,0,0,0
19/08/26 11:50,10,0,0,0
19/08/26 12:00,10,0,0,0
19/08/26 12:10,10,0,0,0
19/08/26 12:20,10,0,0,0
19/08/26 12:30,10,0,0,0
19/08/26 12:40,10,0,0,0
19/08/26 12:50,10,0,0,0
19/08/26 13:00,10,0,0,0
19/08/26 13:10,10,0,0,0
19/08/26 13:20,10,0,0,0
19/08/26 13:30,10,0,0,0
19/08/26 13:40,10,0,0,0
19/08/26 13:50,10,0,0,0
19/08/26 14:00,10,0,0,0
19/08/26 14:10,10,0,0,0
19/08/26 14:20,10,0,0,0
19/08/26 14:30,10,0,0,0
19/08/26 14:40,10,0,0,0
19/08/26 14:50,10,0,0,0
19/08/26 15:00,10,0,0,0
19/08/26 15:10,10,0,0,0
19/08/26 15:20,10,0,0,0
19/08/26 15:30,10,0,0,0
19/08/26 15:40,10,0,0,0
19/08/26 15:50,10,0,0,0
19/08/26 16:00,10,0,0,0
19/08/26 16:10,10,0,0,0
19/08/26 16:20,10,0,0,0
19/08/26 16:30,10,0,0,0
19/08/26 16:40,10,0,0,0
19/08/26 16:50,10,0,0,0
19/08/26 17:00,10,0,0,0
19/08/26 17:10,10,0,0,0
19/08/26 17:20,10,0,0,0
19/08/26 17:30,10,0,0,0
19/08/26 17:40,10,0,0,0
19/08/26 17:50,10,0,0,0
19/08/26 18:00,10,0,0,0
19/08/26 18:10,10,0,0,0
19/08/26 18:20,10,0,0,0
19/08/26 18:30,10,0,0,0
19/08/26 18:40,10,0,0,0
19/08/26 18:50,10,0,0,0
19/08/26 19:00,10,0,0,0
19/08/26 19:10,10,0,0,0
19/08/26 19:20,10,0,0,0
19/08/26 19:30,10,0,0,0
19/08/26 19:40,10,0,0,0
19/08/26 19:50,10,0,0,0
19/08/26 20:00,10,0,0,0
20/08/26 08:00,14,,
20/08/26 08:10,10,0,0,0
20/08/26 08:20,10,0,0,0
20/08/26 08:30,10,0,0,0
20/08/26 08:40,10,0,0,0
20/08/26 08:50,10,0,0,0
20/08/26 09:00,10,0,0,0
20/08/26 09:10,10,0,0,0
20/08/26 09:20,10,0,0,0
20/08/26 09:30,10,0,0,0
20/08/26 09:40,10,0,0,0
20/08/26 09:50,10,0,0,0
20/08/26 10:00,10,0,0,0
20/08/26 10:10,10,0,0,0
20/08/26 10:20,10,0,0,0
20/08/26 10:30,10,0,0,0
20/08/26 10:40,10,0,0,0
20/08/26 10:50,10,0,0,0
20/08/26 11:00,10,0,0,0
20/08/26 11:10,10,0,0,0
20/08/26 11:20,10,0,0,0
20/08/26 11:30,10,0,0,0
20/08/26 11:40,10,0,0,0
20/08/26 11:50,10,0,0,0
20/08/26 12:00,10,0,0,0
20/08/26 12:10,10,0,0,0
20/08/26 12:20,10,0,0,0
20/08/26 12:30,10,0,0,0
20/08/26 12:40,10,0,0,0
20/08/26 12:50,10,0,0,0
20/08/26 13:00,10,0,0,0
20/08/26 13:10,10,0,0,0
20/08/26 13:20,10,0,0,0
20/08/26 13:30,10,0,0,0
20/08/26 13:40,10,0,0,0
20/08/26 13:50,10,0,0,0
20/08/26 14:00,10,0,0,0
20/08/26 14:10,10,0,0,0
20/08/26 14:20,10,0,0,0
20/08/26 14:30,10,0,0,0
20/08/26 14:40,10,0,0,0
20/08/26 14:50,10,0,0,0
20/08/26 15:00,10,0,0,0
20/08/26 15:10,10,0,0,0
20/08/26 15:20,10,0,0,0
20/08/26 15:30,10,0,0,0
20/08/26 15:40,10,0,0,0
20/08/26 15:50,10,0,0,0
20/08/26 16:00,10,0,0,0
20/08/26 16:10,10,0,0,0
20/08/26 16:20,10,0,0,0
20/08/26 16:30,10,0,0,0
20/08/26 16:40,10,0,0,0
20/08/26 16:50,10,0,0,0
20/08/26 17:00,10,0,0,0
20/08/26 17:10,10,0,0,0
20/08/26 17:20,10,0,0,0
20/08/26 17:30,10,0,0,0
20/08/26 17:40,10,0,0,0
20/08/26 17:50,10,0,0,0
20/08/26 18:00,10,0,0,0
20/08/26 18:10,10,0,0,0
20/08/26 18:20,10,0,0,0
20/08/26 18:30,10,0,0,0
20/08/26 18:40,10,0,0,0
20/08/26 18:50,10,0,0,0
20/08/26 19:00,10,0,0,0
20/08/26 19:10,10,0,0,0
20/08/26 19:20,10,0,0,0
20/08/26 19:30,10,0,0,0
20/08/26 19:40,10,0,0,0
20/08/26 19:50,10,0,0,0
20/08/26 20:00,10,0,0,0
21/08/26 08:00,14,,
21/08/26 08:10,10,0,0,0
21/08/26 08:20,10,0,0,0
21/08/26 08:30,10,0,0,0
21/08/26 08:40,10,0,0,0
21/08/26 08:50,10,0,0,0
21/08/26 09:00,10,0,0,0
21/08/26 09:10,10,0,0,0
21/08/26 09:20,10,0,0,0
21/08/26 09:30,10,0,0,0
21/08/26 09:40,10,0,0,0
21/08/26 09:50,10,0,0,0
21/08/26 10:00,10,0,0,0
21/08/26 10:10,10,0,0,0
21/08/26 10:20,10,0,0,0
21/08/26 10:30,10,0,0,0
21/08/26 10:40,10,0,0,0
21/08/26 10:50,10,0,0,0
21/08/26 11:00,10,0,0,0
21/08/26 11:10,10,0,0,0
21/08/26 11:20,10,0,0,0
21/08/26 11:30,10,0,0,0
21/08/26 11:40,10,0,0,0
21/08/26 11:50,10,0,0,0
21/08/26 12:00,10,0,0,0
21/08/26 12:10,10,0,0,0
21/08/26 12:20,10,0,0,0
21/08/26 12:30,10,0,0,0
21/08/26 12:40,10,0,0,0
21/08/26 12:50,10,0,0,0
21/08/26 13:00,10,0,0,0
21/08/26 13:10,10,0,0,0
21/08/26 13:20,10,0,0,0
21/08/26 13:30,10,0,0,0
21/08/26 13:40,10,0,0,0
21/08/26 13:50,10,0,0,0
21/08/26 14:00,10,0,0,0
21/08/26 14:10,10,0,0,0
21/08/26 14:20,10,0,0,0
21/08/26 14:30,10,0,0,0
21/08/26 14:40,10,0,0,0
21/08/26 14:50,10,0,0,0
21/08/26 15:00,10,0,0,0
21/08/26 15:10,10,0,0,0
21/08/26 15:20,10,0,0,0
21/08/26 15:30,10,0,0,0
21/08/26 15:40,10,0,0,0
21/08/26 15:50,10,0,0,0
21/08/26 16:00,10,0,0,0
21/08/26 16:10,10,0,0,0
21/08/26 16:20,10,0,0,0
21/08/26 16:30,10,0,0,0
21/08/26 16:40,10,0,0,0
21/08/26 16:50,10,0,0,0
21/08/26 17:00,10,0,0,0
21/08/26 17:10,10,0,0,0
21/08/26 17:20,10,0,0,0
21/08/26 17:30,10,0,0,0
21/08/26 17:40,10,0,0,0
21/08/26 17:50,10,0,0,0
21/08/26 18:00,10,0,0,0
21/08/26 18:10,10,0,0,0
21/08/26 18:20,10,0,0,0
21/08/26 18:30,10,0,0,0
21/08/26 18:40,10,0,0,0
21/08/26 18:50,10,0,0,0
21/08/26 19:00,10,0,0,0
21/08/26 19:10,10,0,0,0
21/08/26 19:20,10,0,0,0
21/08/26 19:30,10,0,0,0
21/08/26 19:40,10,0,0,0
21/08/26 19:50,10,0,0,0
21/08/26 20:00,10,0,0,0
22/08/26 08:00,14,,
22/08/26 08:10,10,0,0,0
22/08/26 08:20,10,0,0,0
22/08/26 08:30,10,0,0,0
22/08/26 08:40,10,0,0,0
22/08/26 08:50,10,0,0,0
22/08/26 09:00,10,0,0,0
22/08/26 09:10,10,0,0,0
22/08/26 09:20,10,0,0,0
22/08/26 09:30,10,0,0,0
22/08/26 09:40,10,0,0,0
22/08/26 09:50,10,0,0,0
22/08/26 10:00,10,0,0,0
22/08/26 10:10,10,0,0,0
22/08/26 10:20,10,0,0,0
22/08/26 10:30,10,0,0,0
22/08/26 10:40,10,0,0,0
22/08/26 10:50,10,0,0,0
22/08/26 11:00,10,0,0,0
22/08/26 11:10,10,0,0,0
22/08/26 11:20,10,0,0,0
22/08/26 11:30,10,0,0,0
22/08/26 11:40,10,0,0,0
22/08/26 11:50,10,0,0,0
22/08/26 12:00,10,0,0,0
22/08/26 12:10,10,0,0,0
22/08/26 12:20,10,0,0,0
22/08/26 12:30,10,0,0,0
22/08/26 12:40,10,0,0,0
22/08/26 12:50,10,0,0,0
22/08/26 13:00,10,0,0,0
22/08/26 13:10,10,0,0,0
22/08/26 13:20,10,0,0,0
22/08/26 13:30,10,0,0,0
22/08/26 13:40,10,0,0,0
22/08/26 13:50,10,0,0,0
22/08/26 14:00,10,0,0,0
22/08/26 14:10,10,0,0,0
22/08/26 14:20,10,0,0,0
22/08/26 14:30,10,0,0,0
22/08/26 14:40,10,0,0,0
22/08/26 14:50,10,0,0,0
22/08/26 15:00,10,0,0,0
22/08/26 15:10,10,0,0,0
22/08/26 15:20,10,0,0,0
22/08/26 15:30,10,0,0,0
22/08/26 15:40,10,0,0,0
22/08/26 15:50,10,0,0,0
22/08/26 16:00,10,0,0,0
22/08/26 16:10,10,0,0,0
22/08/26 16:20,10,0,0,0
22/08/26 16:30,10,0,0,0
22/08/26 16:40,10,0,0,0
22/08/26 16:50,10,0,0,0
22/08/26 17:00,10,0,0,0
22/08/26 17:10,10,0,0,0
22/08/26 17:20,10,0,0,0
22/08/26 17:30,10,0,0,0
22/08/26 17:40,10,0,0,0
22/08/26 17:50,10,0,0,0
22/08/26 18:00,10,0,0,0
22/08/26 18:10,10,0,0,0
22/08/26 18:20,10,0,0,0
22/08/26 18:30,10,0,0,0
22/08/26 18:40,10,0,0,0
22/08/26 18:50,10,0,0,0
22/08/26 19:00,10,0,0,0
22/08/26 19:10,10,0,0,0
22/08/26 19:20,10,0,0,0
22/08/26 19:30,10,0,0,0
22/08/26 19:40,10,0,0,0
22/08/26 19:50,10,0,0,0
22/08/26 20:00,10,0,0,0
23/08/26 08:00,14,,
23/08/26 08:10,10,0,0,0
23/08/26 08:20,10,0,0,0
23/08/26 08:30,10,0,0,0
23/08/26 08:40,10,0,0,0
23/08/26 08:50,10,0,0,0
23/08/26 09:00,10,0,0,0
23/08/26 09:10,10,0,0,0
23/08/26 09:20,10,0,0,0
23/08/26 09:30,10,0,0,0
23/08/26 09:40,10,0,0,0
23/08/26 09:50,10,0,0,0
23/08/26 10:00,10,0,0,0
23/08/26 10:10,10,0,0,0
23/08/26 10:20,10,0,0,0
23/08/26 10:30,10,0,0,0
23/08/26 10:40,10,0,0,0
23/08/26 10:50,10,0,0,0
23/08/26 11:00,10,0,0,0
23/08/26 11:10,10,0,0,0
23/08/26 11:20,10,0,0,0
23/08/26 11:30,10,0,0,0
23/08/26 11:40,10,0,0,0
23/08/26 11:50,10,0,0,0
23/08/26 12:00,10,0,0,0
23/08/26 12:10,10,0,0,0
23/08/26 12:20,10,0,0,0
23/08/26 12:30,10,0,0,0
23/08/26 12:40,10,0,0,0
23/08/26 12:50,10,0,0,0
23/08/26 13:00,10,0,0,0
23/08/26 13:10,10,0,0,0
23/08/26 13:20,10,0,0,0
23/08/26 13:30,10,0,0,0
23/08/26 13:40,10,0,0,0
23/08/26 13:50,10,0,0,0
23/08/26 14:00,10,0,0,0
23/08/26 14:10,10,0,0,0
23/08/26 14:20,10,0,0,0
23/08/26 14:30,10,0,0,0
23/08/26 14:40,10,0,0,0
23/08/26 14:50,10,0,0,0
23/08/26 15:00,10,0,0,0
23/08/26 15:10,10,0,0,0
23/08/26 15:20,10,0,0,0
23/08/26 15:30,10,0,0,0
23/08/26 15:40,10,0,0,0
23/08/26 15:50,10,0,0,0
23/08/26 16:00,10,0,0,0
23/08/26 16:10,10,0,0,0
23/08/26 16:20,10,0,0,0
23/08/26 16:30,10,0,0,0
23/08/26 16:40,10,0,0,0
23/08/26 16:50,10,0,0,0
23/08/26 17:00,10,0,0,0
23/08/26 17:10,10,0,0,0
23/08/26 17:20,10,0,0,0
23/08/26 17:30,10,0,0,0
23/08/26 17:40,10,0,0,0
23/08/26 17:50,10,0,0,0
23/08/26 18:00,10,0,0,0
23/08/26 18:10,10,0,0,0
23/08/26 18:20,10,0,0,0
23/08/26 18:30,10,0,0,0
23/08/26 18:40,10,0,0,0
23/08/26 18:50,10,0,0,0
23/08/26 19:00,10,0,0,0
23/08/26 19:10,10,0,0,0
23/08/26 19:20,10,0,0,0
23/08/26 19:30,10,0,0,0
23/08/26 19:40,10,0,0,0
23/08/26 19:50,10,0,0,0
23/08/26 20:00,10,0,0,0
24/08/26 08:00,14,,
24/08/26 08:10,10,0,0,0
24/08/26 08:20,10,0,0,0
24/08/26 08:30,10,0,0,0
24/08/26 08:40,10,0,0,0
24/08/26 08:50,10,0,0,0
24/08/26 09:00,10,0,0,0
24/08/26 09:10,10,0,0,0
24/08/26 09:20,10,0,0,0
24/08/26 09:30,10,0,0,0
24/08/26 09:40,10,0,0,0
24/08/26 09:50,10,0,0,0
24/08/26 10:00,10,0,0,0
24/08/26 10:10,10,0,0,0
24/08/26 10:20,10,0,0,0
24/08/26 10:30,10,0,0,0
24/08/26 10:40,10,0,0,0
24/08/26 10:50,10,0,0,0
24/08/26 11:00,10,0,0,0
24/08/26 11:10,10,0,0,0
24/08/26 11:20,10,0,0,0
24/08/26 11:30,10,0,0,0
24/08/26 11:40,10,0,0,0
24/08/26 11:50,10,0,0,0
24/08/26 12:00,10,0,0,0
24/08/26 12:10,10,0,0,0
24/08/26 12:20,10,0,0,0
24/08/26 12:30,10,0,0,0
24/08/26 12:40,10,0,0,0
24/08/26 12:50,10,0,0,0
24/08/26 13:00,10,0,0,0
24/08/26 13:10,10,0,0,0
24/08/26 13:20,10,0,0,0
24/08/26 13:30,10,0,0,0
24/08/26 13:40,10,0,0,0
24/08/26 13:50,10,0,0,0
24/08/26 14:00,10,0,0,0
24/08/26 14:10,10,0,0,0
24/08/26 14:20,10,0,0,0
24/08/26 14:30,10,0,0,0
24/08/26 14:40,10,0,0,0
24/08/26 14:50,10,0,0,0
24/08/26 15:00,10,0,0,0
24/08/26 15:10,10,0,0,0
24/08/26 15:20,10,0,0,0
24/08/26 15:30,10,0,0,0
24/08/26 15:40,10,0,0,0
24/08/26 15:50,10,0,0,0
24/08/26 16:00,10,0,0,0
24/08/26 16:10,10,0,0,0
24/08/26 16:20,10,0,0,0
24/08/26 16:30,10,0,0,0
24/08/26 16:40,10,0,0,0
24/08/26 16:50,10,0,0,0
24/08/26 17:00,10,0,0,0
24/08/26 17:10,10,0,0,0
24/08/26 17:20,10,0,0,0
24/08/26 17:30,10,0,0,0
24/08/26 17:40,10,0,0,0
24/08/26 17:50,10,0,0,0
24/08/26 18:00,10,0,0,0
24/08/26 18:10,10,0,0,0
24/08/26 18:20,10,0,0,0
24/08/26 18:30,10,0,0,0
24/08/26 18:40,10,0,0,0
24/08/26 18:50,10,0,0,0
24/08/26 19:00,10,0,0,0
24/08/26 19:10,10,0,0,0
24/08/26 19:20,10,0,0,0
24/08/26 19:30,10,0,0,0
24/08/26 19:40,10,0,0,0
24/08/26 19:50,10,0,0,0
